Tanggal,Temperatur minimum (°C),Temperatur maksimum (°C),Temperatur rata-rata (°C),Kelembapan rata-rata (%),Curah hujan (mm),Lamanya penyinaran matahari (jam),Kecepatan angin maksimum (m/s),Kecepatan angin rata-rata (m/s),Label,season_Musim Hujan
2008-05-13,20.0,30.8,24.9,79.0,0.0,6.5,2.0,1.0,0,0
2008-05-14,22.0,31.6,26.1,79.0,6.4,6.7,3.0,1.0,0,0
2008-05-15,22.0,30.2,25.4,85.0,24.7,5.0,2.0,1.0,0,0
2008-05-16,21.0,32.2,25.6,80.0,0.0,7.8,2.0,0.0,0,0
2008-05-17,21.0,31.4,25.6,82.0,1.0,7.3,2.0,1.0,0,0
2008-05-18,22.0,31.8,26.2,80.0,0.0,7.2,2.0,0.0,0,0
2008-05-19,21.0,32.2,26.0,82.0,43.5,7.9,2.0,1.0,0,0
2008-05-20,23.0,31.6,25.9,89.0,41.6,5.6,2.0,1.0,0,0
2008-05-21,23.0,31.2,26.0,86.0,24.1,4.8,3.0,0.0,0,0
2008-05-22,22.0,32.0,25.8,85.0,0.4,6.2,2.0,0.0,0,0
2008-05-23,23.0,31.8,26.5,85.0,9.5,8.0,1.0,1.0,0,0
2008-05-24,23.0,31.9,25.6,86.0,0.0,7.2,8.0,0.0,0,0
2008-05-25,22.0,31.6,25.6,84.0,23.5,6.2,1.0,1.0,0,0
2008-05-26,21.0,32.3,26.1,78.0,0.0,7.7,1.0,0.0,0,0
2008-05-27,20.0,31.5,25.6,84.0,0.0,5.8,3.0,0.0,0,0
2008-05-28,22.0,32.2,26.0,80.0,0.0,7.3,2.0,1.0,0,0
2008-05-29,22.0,32.6,26.6,80.0,0.0,7.9,3.0,0.0,0,0
2008-05-30,22.0,32.2,26.2,79.0,0.0,7.3,3.0,0.0,0,0
2008-05-31,22.0,31.0,24.7,87.0,0.0,5.1,3.0,0.0,0,0
2008-06-01,22.0,30.1,25.1,88.0,45.5,6.1,2.0,1.0,0,0
2008-06-02,22.0,31.5,26.0,81.0,0.0,7.3,2.0,0.0,0,0
2008-06-03,22.0,31.8,25.9,83.0,0.0,6.9,2.0,0.0,0,0
2008-06-04,22.0,32.2,25.4,84.0,0.1,6.3,2.0,1.0,0,0
2008-06-05,21.0,32.7,26.1,80.0,0.0,7.6,3.0,1.0,0,0
2008-06-06,22.0,31.2,25.4,84.0,0.0,6.9,3.0,1.0,0,0
2008-06-07,21.0,31.8,25.5,83.0,24.3,7.8,2.0,1.0,0,0
2008-06-08,21.0,30.5,25.3,83.0,0.0,4.3,2.0,0.0,0,0
2008-06-09,21.0,31.8,25.2,80.0,0.0,5.6,2.0,0.0,0,0
2008-06-10,22.0,32.4,25.0,85.0,0.1,3.8,8.0,1.0,0,0
2008-06-11,22.0,30.8,25.5,85.0,33.0,2.7,1.0,1.0,0,0
2008-06-12,23.0,31.2,25.8,88.0,0.0,5.4,1.0,0.0,0,0
2008-06-13,22.0,31.3,24.9,90.0,34.0,4.9,3.0,1.0,0,0
2008-06-14,22.0,28.5,25.1,90.0,1.7,0.5,3.0,1.0,0,0
2008-06-15,23.0,29.6,25.2,90.0,1.0,0.9,2.0,0.0,0,0
2008-06-16,23.0,31.7,26.4,84.0,3.9,7.5,2.0,0.0,0,0
2008-06-17,24.0,32.0,26.6,84.0,0.0,6.9,3.0,0.0,0,0
2008-06-18,22.0,31.6,25.9,83.0,0.4,7.1,2.0,1.0,0,0
2008-06-19,22.0,31.7,25.6,82.0,0.0,7.5,2.0,0.0,0,0
2008-06-20,20.0,31.6,24.4,81.0,1.4,7.4,2.0,1.0,0,0
2008-06-21,21.0,31.5,24.9,81.0,0.0,8.0,1.0,0.0,0,0
2008-06-22,21.0,30.7,24.8,82.0,4.8,7.7,2.0,0.0,0,0
2008-06-23,22.0,32.2,26.2,78.0,0.1,8.0,2.0,0.0,0,0
2008-06-24,21.0,31.6,25.2,83.0,12.0,7.6,2.0,0.0,0,0
2008-06-25,22.0,31.8,26.1,79.0,0.0,7.9,1.0,0.0,0,0
2008-06-26,22.0,32.0,25.9,80.0,0.0,7.5,2.0,1.0,0,0
2008-06-27,22.0,32.5,26.2,82.0,0.0,7.3,3.0,1.0,0,0
2008-06-28,22.0,31.5,26.2,83.0,9.2,7.8,2.0,1.0,0,0
2008-06-29,22.0,32.1,26.3,83.0,0.0,7.2,3.0,0.0,0,0
2008-06-30,21.0,32.0,25.6,80.0,0.0,7.4,1.0,1.0,0,0
2008-07-01,22.0,32.0,25.8,82.0,0.0,7.5,2.0,0.0,0,0
2008-07-02,22.0,31.9,25.7,78.0,0.0,7.7,1.0,1.0,0,0
2008-07-03,21.0,32.0,25.5,75.0,0.0,8.0,2.0,0.0,0,0
2008-07-04,21.0,31.6,24.6,84.0,0.0,5.0,3.0,0.0,0,0
2008-07-05,20.0,31.8,25.2,80.0,102.2,7.3,1.0,1.0,0,0
2008-07-06,19.0,31.8,24.4,72.0,0.0,7.9,1.0,1.0,0,0
2008-07-07,20.0,32.4,25.5,73.0,0.0,8.0,2.0,1.0,0,0
2008-07-08,21.0,32.3,25.6,76.0,0.0,8.0,2.0,0.0,0,0
2008-07-09,20.0,32.2,25.7,76.0,0.0,7.9,2.0,1.0,0,0
2008-07-10,20.0,31.6,25.7,79.0,0.0,6.5,2.0,0.0,0,0
2008-07-11,21.0,31.9,25.8,73.0,0.0,7.3,1.0,1.0,0,0
2008-07-12,22.0,32.2,26.2,77.0,0.0,7.9,3.0,1.0,0,0
2008-07-13,21.0,33.3,26.0,73.0,0.0,7.4,4.0,1.0,0,0
2008-07-14,22.0,32.8,26.4,78.0,0.0,7.3,2.0,1.0,0,0
2008-07-15,22.0,32.4,24.4,86.0,0.0,7.1,4.0,0.0,0,0
2008-07-16,20.0,30.6,24.6,82.0,52.0,6.6,3.0,1.0,0,0
2008-07-17,19.0,31.5,24.2,74.0,0.0,8.0,0.0,0.0,0,0
2008-07-18,20.0,31.9,24.6,78.0,0.0,7.6,2.0,0.0,0,0
2008-07-19,20.0,32.6,25.4,77.0,0.6,7.9,2.0,1.0,0,0
2008-07-20,21.0,31.5,25.3,79.0,0.0,8.0,3.0,0.0,0,0
2008-07-21,20.0,32.8,25.0,78.0,0.0,7.5,2.0,1.0,0,0
2008-07-22,20.0,31.6,24.6,75.0,3.6,7.2,2.0,1.0,0,0
2008-07-23,20.0,31.8,24.8,75.0,0.0,7.8,2.0,1.0,0,0
2008-07-24,20.0,31.6,25.1,72.0,0.0,7.6,3.0,1.0,0,0
2008-07-25,20.0,31.6,25.0,77.0,0.0,7.4,2.0,0.0,0,0
2008-07-26,21.0,31.2,25.8,81.0,0.0,7.3,2.0,1.0,0,0
2008-07-27,22.0,31.9,25.1,84.0,0.4,6.7,2.0,1.0,0,0
2008-07-28,20.0,32.8,25.3,74.0,13.6,7.9,3.0,1.0,0,0
2008-07-29,21.0,31.0,25.0,80.0,0.0,6.4,2.0,1.0,0,0
2008-07-30,20.0,32.3,25.1,78.0,0.0,8.0,1.0,0.0,0,0
2008-07-31,21.0,32.8,25.8,80.0,0.0,8.0,2.0,1.0,0,0
2008-08-01,23.0,32.7,26.8,81.0,6.6,7.5,1.0,1.0,0,0
2008-08-02,20.0,32.1,25.8,83.0,0.0,5.2,3.0,1.0,0,0
2008-08-03,20.0,31.4,25.0,80.0,22.5,8.0,2.0,1.0,0,0
2008-08-04,21.0,31.8,25.1,75.0,11.25,7.9,4.0,1.0,0,0
2008-08-05,22.0,32.9,26.1,74.0,0.0,8.0,2.0,1.0,0,0
2008-08-06,22.0,32.3,24.9,82.0,0.0,6.2,2.0,1.0,0,0
2008-08-07,22.0,32.2,26.2,76.0,9.5,8.0,1.0,1.0,0,0
2008-08-08,22.0,32.2,25.9,72.0,0.0,7.6,1.0,1.0,0,0
2008-08-09,22.0,32.9,26.5,71.0,0.0,7.7,2.0,1.0,0,0
2008-08-10,22.0,30.8,26.1,77.0,0.0,0.8,1.0,1.0,0,0
2008-08-11,24.0,32.4,26.3,78.0,0.0,4.0,2.0,0.0,0,0
2008-08-12,23.0,30.5,26.2,82.0,0.0,2.3,0.0,1.0,0,0
2008-08-13,22.0,29.0,24.7,92.0,0.0,0.4,2.0,0.0,0,0
2008-08-14,23.0,32.1,25.6,80.0,33.7,7.7,2.0,0.0,0,0
2008-08-15,21.0,30.8,24.9,88.0,7.2,4.2,2.0,1.0,0,0
2008-08-16,21.0,32.1,25.7,80.0,3.6,7.2,2.0,1.0,0,0
2008-08-17,21.0,32.0,25.8,78.0,0.0,8.0,1.0,1.0,0,0
2008-08-18,22.0,31.0,24.7,82.0,0.0,4.9,1.0,1.0,0,0
2008-08-19,22.0,32.1,26.0,78.0,0.5,5.1,0.0,0.0,0,0
2008-08-20,22.0,30.8,25.3,84.0,0.0,4.2,2.0,0.0,0,0
2008-08-21,21.0,32.4,25.9,78.0,0.0,7.4,1.0,1.0,0,0
2008-08-22,22.0,32.6,25.9,77.0,0.0,7.4,1.0,1.0,0,0
2008-08-23,22.0,31.9,26.3,78.0,0.0,5.1,2.0,1.0,0,0
2008-08-24,21.0,31.6,24.4,88.0,29.4,6.6,3.0,0.0,0,0
2008-08-25,22.0,31.6,25.1,87.0,32.7,6.3,1.0,1.0,0,0
2008-08-26,22.0,31.5,25.9,82.0,4.0,6.2,1.0,0.0,0,0
2008-08-27,22.0,32.6,26.2,80.0,0.0,7.5,2.0,0.0,0,0
2008-08-28,21.0,32.1,25.1,86.0,0.0,6.1,2.0,0.0,0,0
2008-08-29,22.0,31.1,24.3,90.0,27.6,5.3,2.0,1.0,0,0
2008-08-30,22.0,30.3,25.5,85.0,11.0,2.1,1.0,1.0,0,0
2008-08-31,22.0,30.6,25.1,88.0,11.0,2.7,2.0,0.0,0,0
2008-09-01,22.0,30.7,25.2,86.0,18.7,4.3,0.0,0.0,0,0
2008-09-02,22.0,32.2,26.2,83.0,0.3,5.6,2.0,1.0,0,0
2008-09-03,21.0,31.9,26.3,80.0,0.0,4.7,4.0,0.0,0,0
2008-09-04,21.0,33.3,25.7,81.0,0.0,7.3,2.0,1.0,0,0
2008-09-05,21.0,32.9,25.2,84.0,49.6,7.6,3.0,1.0,0,0
2008-09-06,23.0,32.7,25.6,76.0,0.7,7.0,3.0,1.0,0,0
2008-09-07,23.0,33.0,26.7,71.0,0.0,6.1,2.0,1.0,0,0
2008-09-08,22.0,31.7,26.8,76.0,0.0,6.9,2.0,1.0,0,0
