Tanggal;Temperatur minimum (°C);Temperatur maksimum (°C);Temperatur rata-rata (°C);Kelembapan rata-rata (%);Curah hujan (mm);Lamanya penyinaran matahari (jam);Kecepatan angin maksimum (m/s);Kecepatan angin rata-rata (m/s);Label;season_Musim Hujan
2008-11-18 00.00.00;23;29.4;26.1;89;2.8;0.9;2;1;0;1
2008-11-19 00.00.00;23;29.3;25.3;85;0;0.7;2;1;0;1
2008-11-20 00.00.00;23;30.6;26;86;1.4;0.7;4;1;0;1
2008-11-21 00.00.00;24;31.2;27.2;77;0.7;3;5;0;0;1
2008-11-22 00.00.00;23;30.7;26.9;79;0;1.8;3;2;0;1
2008-11-23 00.00.00;23;31.6;26.2;84;0.5;3.4;2;1;0;1
2008-11-24 00.00.00;22;27.5;24.3;90;44.6;0.2;3;1;0;1
2008-11-25 00.00.00;23;32.7;26.8;81;1;4.8;4;2;0;1
2008-11-26 00.00.00;24;29.5;24.7;94;0;1.8;5;0;0;1
2008-11-27 00.00.00;22;33.1;26.6;81;6.4;5.4;3;1;0;1
2008-11-28 00.00.00;23;32.6;26.5;86;0;4.2;2;1;0;1
2008-11-29 00.00.00;22;32.5;26.7;82;0;5.4;2;1;0;1
2008-11-30 00.00.00;23;32.3;26.4;85;0;5.7;4;1;0;1
2008-12-01 00.00.00;23;32.1;26.5;84;3.6;6.6;3;1;0;1
2008-12-02 00.00.00;24;31.8;26.3;83;1.85;4.6;6;1;0;1
2008-12-03 00.00.00;23;32.8;26.2;82;0.1;7.6;4;1;0;1
2008-12-04 00.00.00;23;31.6;26.1;86;1;2.8;2;2;0;1
2008-12-05 00.00.00;23;31.7;25.9;89;10.7;5.7;2;1;0;1
2008-12-06 00.00.00;23;33;26.6;86;6.7;5.3;3;0;0;1
2008-12-07 00.00.00;22;32.9;26.5;82;3.2;6.1;2;1;0;1
